SerialNumber: FA2C97B24FFA-7744
time (UTC+02:00)	q1	q2	q3	q4	Interference

08/08/2025 14:49:30.445	0.7551534	-0.037879545	0.20796439	-0.6207274	None
08/08/2025 14:49:30.455	0.75518775	-0.03776697	0.2081481	-0.6206309	None
08/08/2025 14:49:30.465	0.7552057	-0.037605118	0.20857853	-0.6204746	None
08/08/2025 14:49:30.475	0.7552179	-0.03757304	0.20880154	-0.62038654	None
08/08/2025 14:49:30.485	0.75525385	-0.037488945	0.20897382	-0.6202901	None
08/08/2025 14:49:30.495	0.75528103	-0.03734933	0.20898408	-0.6202616	None
08/08/2025 14:49:30.505	0.75532943	-0.037176177	0.20892087	-0.6202344	None
08/08/2025 14:49:30.515	0.75535977	-0.03693414	0.2089399	-0.6202056	None
08/08/2025 14:49:30.525	0.7553863	-0.036710516	0.20898435	-0.6201715	None
08/08/2025 14:49:30.535	0.75538415	-0.03680869	0.2091578	-0.6201099	None
08/08/2025 14:49:30.545	0.75535625	-0.037113387	0.20949408	-0.620012	None
08/08/2025 14:49:30.555	0.75535566	-0.037176255	0.2096216	-0.61996603	None
08/08/2025 14:49:30.565	0.7553207	-0.037224974	0.20985873	-0.6199255	None
08/08/2025 14:49:30.575	0.75529945	-0.03731664	0.20999774	-0.61989886	None
08/08/2025 14:49:30.585	0.75529015	-0.03723536	0.20996663	-0.61992574	None
08/08/2025 14:49:30.595	0.7553123	-0.03704432	0.2098137	-0.6199618	None
08/08/2025 14:49:30.605	0.75531954	-0.036806192	0.20968223	-0.6200116	None
08/08/2025 14:49:30.615	0.7553474	-0.036486197	0.2095788	-0.6200314	None
08/08/2025 14:49:30.625	0.7553761	-0.036141247	0.20943348	-0.6200658	None
08/08/2025 14:49:30.635	0.7554089	-0.03605379	0.2093485	-0.6200598	None
08/08/2025 14:49:30.645	0.75542545	-0.036093388	0.20938268	-0.6200256	None
08/08/2025 14:49:30.655	0.7554131	-0.036195423	0.20944208	-0.6200146	None
08/08/2025 14:49:30.665	0.7553904	-0.03621474	0.20945536	-0.62003684	None
08/08/2025 14:49:30.675	0.75536555	-0.036268707	0.20948756	-0.6200531	None
08/08/2025 14:49:30.685	0.7553729	-0.036290575	0.20956415	-0.620017	None
08/08/2025 14:49:30.695	0.7553218	-0.036388222	0.20974433	-0.62001246	None
08/08/2025 14:49:30.705	0.7553043	-0.03636021	0.20970425	-0.62004906	None
08/08/2025 14:49:30.715	0.7553399	-0.03607519	0.2095654	-0.62006915	None
08/08/2025 14:49:30.725	0.7553234	-0.035658244	0.20950156	-0.62013507	None
08/08/2025 14:49:30.735	0.7552756	-0.035461195	0.20958456	-0.6201767	None
08/08/2025 14:49:30.745	0.75527495	-0.03523791	0.20947285	-0.62022775	None
08/08/2025 14:49:30.755	0.7552298	-0.03531259	0.20974329	-0.62018704	None
08/08/2025 14:49:30.765	0.7552339	-0.03506726	0.20964827	-0.6202281	None
08/08/2025 14:49:30.775	0.7551728	-0.03487263	0.20979996	-0.62026256	None
08/08/2025 14:49:30.785	0.7551355	-0.034782767	0.20975628	-0.62032753	None
08/08/2025 14:49:30.795	0.7550973	-0.03487374	0.20993572	-0.62030804	None
08/08/2025 14:49:30.805	0.75502557	-0.03484354	0.21014835	-0.620325	None
08/08/2025 14:49:30.815	0.75498796	-0.03468574	0.21013162	-0.62038535	None
08/08/2025 14:49:30.825	0.7549103	-0.034391697	0.21021986	-0.6204663	None
08/08/2025 14:49:30.835	0.7548606	-0.033891615	0.21020499	-0.6205592	None
08/08/2025 14:49:30.845	0.7548109	-0.033345714	0.2101913	-0.62065417	None
08/08/2025 14:49:30.855	0.7547486	-0.033217683	0.21031818	-0.62069356	None
08/08/2025 14:49:30.865	0.7546573	-0.03323034	0.21045457	-0.6207578	None
08/08/2025 14:49:30.875	0.7545349	-0.032988835	0.2105202	-0.620897	None
08/08/2025 14:49:30.885	0.7543564	-0.0328176	0.21074422	-0.62104696	None
08/08/2025 14:49:30.895	0.75411683	-0.032668862	0.21110828	-0.6212222	None
